Machine,number of colors,Type of printing,laminate,glue killer,paper width,sending
SMP-1,4,convex intermittent,0,0,150,203
SMP-1,4,convex intermittent,0,0,150,203
SMP-1,4,convex intermittent,0,0,185,158
SMP-2,4,convex intermittent,0,0,205,168
SMP-2,4,convex intermittent,0,0,145,106
SMP-2,4,convex intermittent,0,0,145,106
SMP-2,5,convex intermittent,1,0,265,150
SMP-3,4,convex intermittent,0,0,260,189
SMP-3,4,convex intermittent,0,0,135,122
SMP-4auto,4,convex intermittent,0,0,215,173
SMP-4auto,4,convex intermittent,0,0,180,146
CS-1,1,convex intermittent,0,0,50,56
CS-1,1,convex intermittent,0,0,105,67
CS-1,1,convex intermittent,0,0,50,52
CS-1,1,convex intermittent,0,0,120,90
JNAS-2,4,convex intermittent,0,0,170,144
JNAS-2,4,convex intermittent,0,0,170,144
JNAS-2,4,convex intermittent,0,0,140,99
JNAS-2,4,convex intermittent,0,0,105,153
SL-4,1,convex intermittent,0,0,180,86
SL-4,1,convex intermittent,0,0,170,82
SL-4,2,convex intermittent,0,0,130,108
SL-4,2,convex intermittent,0,0,190,144
SL-4,2,convex intermittent,0,0,130,146
SL-4,1,convex intermittent,0,0,75,50
SL-4,2,convex intermittent,0,0,90,96
SL-4,1,convex intermittent,0,0,80,114
SL-4,2,convex intermittent,0,0,95,129
SL-4,2,convex intermittent,0,0,140,93
SL-5,2,convex intermittent,0,0,220,115
SL-5,2,convex intermittent,0,0,220,115
SL-5,2,convex intermittent,0,0,220,115
SL-5,2,convex intermittent,0,0,220,115
SL-5,2,convex intermittent,0,0,165,60
SL-5,2,convex intermittent,0,0,165,60
SL-5,2,convex intermittent,0,0,165,60
SL-5,2,convex intermittent,0,0,165,60
SL-5,2,convex intermittent,0,0,165,60
SL-5,1,convex intermittent,0,0,80,72
SL-5,1,convex intermittent,0,0,80,72
SL-5,1,convex intermittent,0,0,90,114
SL-5,2,convex intermittent,0,0,70,114
SL-5,2,convex intermittent,0,0,160,95
SL-5,1,convex intermittent,0,0,60,66
SL-5,2,convex intermittent,0,0,135,90
SL-5,1,convex intermittent,0,0,150,130
SL-6,1,convex intermittent,0,0,140,66
SL-6,1,convex intermittent,0,0,135,129
SL-6,1,convex intermittent,0,0,120,126
SL-6,1,convex intermittent,0,0,120,126
SL-6,1,convex intermittent,0,0,120,126
SL-6,1,convex intermittent,0,0,115,66
SL-6,1,convex intermittent,0,0,105,92
SL-6,1,convex intermittent,0,0,95,132
SL-6,1,convex intermittent,0,0,135,123
SL-6,1,convex intermittent,0,0,135,103
SL-6,1,convex intermittent,0,0,160,95
SL-6,1,convex intermittent,0,0,90,52
SL-6,1,convex intermittent,0,0,125,116
SL-6,1,convex intermittent,0,0,200,103
SL-6,1,convex intermittent,0,0,170,103
SL-6,1,convex intermittent,0,0,135,112
SL-6,1,convex intermittent,0,0,95,115
SL-6,1,convex intermittent,0,0,95,115
SL-7,1,convex intermittent,0,0,95,66
SL-7,1,convex intermittent,0,0,95,66
SL-7,1,convex intermittent,0,0,95,66
SL-7,1,convex intermittent,0,0,100,54
SL-7,4,convex intermittent,0,0,140,106
SL-7,5,convex intermittent,0,0,125,126
SL-7,2,convex intermittent,0,0,55,92
SL-7,4,convex intermittent,0,0,115,106
SL-7,3,convex intermittent,0,0,115,106
SL-7,2,convex intermittent,1,0,105,73
SL-7,1,convex intermittent,1,0,75,63
SL-8,4,convex intermittent,0,0,130,146
SL-8,5,convex intermittent,0,0,120,140
SL-8,4,convex intermittent,0,0,115,114
SL-8,4,convex intermittent,0,0,115,114
SL-8,4,convex intermittent,0,0,115,114
SL-8,4,convex intermittent,0,0,105,133
SL-8,4,convex intermittent,0,0,100,132
SL-8,4,convex intermittent,0,0,90,86
SL-8,3,convex intermittent,0,0,140,128
SL-8,3,convex intermittent,0,0,115,113
SL-9,1,convex intermittent,0,0,60,86
SL-9,3,convex intermittent,0,0,75,99
SL-9,3,convex intermittent,0,0,170,153
SL-9,4,convex intermittent,0,0,180,106
SL-9,4,convex intermittent,0,0,75,126
SL-9,3,convex intermittent,0,0,90,76
SL-9,2,convex intermittent,0,0,90,76
SL-9,2,convex intermittent,0,0,90,76
SL-10,2,convex intermittent,0,0,115,146
