Machine,number of colors,Type of printing,laminate,glue killer,paper width,sending,color
SMP-1,4,convex intermittent,0,0,150,203,2
SMP-1,4,convex intermittent,0,0,150,203,2
SMP-1,4,convex intermittent,0,0,185,158,2
SMP-2,4,convex intermittent,0,0,205,168,2
SMP-2,4,convex intermittent,0,0,145,106,2
SMP-2,4,convex intermittent,0,0,145,106,2
SMP-2,5,convex intermittent,1,0,265,150,4
SMP-3,4,convex intermittent,0,0,260,189,2
SMP-3,4,convex intermittent,0,0,135,122,2
SMP-4auto,4,convex intermittent,0,0,215,173,4
SMP-4auto,4,convex intermittent,0,0,180,146,2
CS-1,1,convex intermittent,0,0,50,56,3
CS-1,1,convex intermittent,0,0,105,67,3
CS-1,1,convex intermittent,0,0,50,52,1
CS-1,1,convex intermittent,0,0,120,90,1
JNAS-2,4,convex intermittent,0,0,170,144,2
JNAS-2,4,convex intermittent,0,0,170,144,2
JNAS-2,4,convex intermittent,0,0,140,99,2
JNAS-2,4,convex intermittent,0,0,105,153,2
SL-4,1,convex intermittent,0,0,180,86,3
SL-4,1,convex intermittent,0,0,170,82,3
SL-4,2,convex intermittent,0,0,130,108,3
SL-4,2,convex intermittent,0,0,190,144,3
SL-4,2,convex intermittent,0,0,130,146,3
SL-4,1,convex intermittent,0,0,75,50,3
SL-4,2,convex intermittent,0,0,90,96,3
SL-4,1,convex intermittent,0,0,80,114,3
SL-4,2,convex intermittent,0,0,95,129,3
SL-4,2,convex intermittent,0,0,140,93,3
SL-5,2,convex intermittent,0,0,220,115,3
SL-5,2,convex intermittent,0,0,220,115,3
SL-5,2,convex intermittent,0,0,220,115,3
SL-5,2,convex intermittent,0,0,220,115,3
SL-5,2,convex intermittent,0,0,165,60,3
SL-5,2,convex intermittent,0,0,165,60,3
SL-5,2,convex intermittent,0,0,165,60,3
SL-5,2,convex intermittent,0,0,165,60,3
SL-5,2,convex intermittent,0,0,165,60,3
SL-5,1,convex intermittent,0,0,80,72,3
SL-5,1,convex intermittent,0,0,80,72,3
SL-5,1,convex intermittent,0,0,90,114,3
SL-5,2,convex intermittent,0,0,70,114,3
SL-5,2,convex intermittent,0,0,160,95,3
SL-5,1,convex intermittent,0,0,60,66,3
SL-5,2,convex intermittent,0,0,135,90,3
SL-5,1,convex intermittent,0,0,150,130,3
SL-6,1,convex intermittent,0,0,140,66,1
SL-6,1,convex intermittent,0,0,135,129,1
SL-6,1,convex intermittent,0,0,120,126,1
SL-6,1,convex intermittent,0,0,120,126,1
SL-6,1,convex intermittent,0,0,120,126,1
SL-6,1,convex intermittent,0,0,115,66,1
SL-6,1,convex intermittent,0,0,105,92,1
SL-6,1,convex intermittent,0,0,95,132,1
SL-6,1,convex intermittent,0,0,135,123,1
SL-6,1,convex intermittent,0,0,135,103,1
SL-6,1,convex intermittent,0,0,160,95,1
SL-6,1,convex intermittent,0,0,90,52,1
SL-6,1,convex intermittent,0,0,125,116,1
SL-6,1,convex intermittent,0,0,200,103,1
SL-6,1,convex intermittent,0,0,170,103,1
SL-6,1,convex intermittent,0,0,135,112,1
SL-6,1,convex intermittent,0,0,95,115,1
SL-6,1,convex intermittent,0,0,95,115,1
SL-7,1,convex intermittent,0,0,95,66,3
SL-7,1,convex intermittent,0,0,95,66,3
SL-7,1,convex intermittent,0,0,95,66,3
SL-7,1,convex intermittent,0,0,100,54,3
SL-7,4,convex intermittent,0,0,140,106,3
SL-7,5,convex intermittent,0,0,125,126,3
SL-7,2,convex intermittent,0,0,55,92,3
SL-7,4,convex intermittent,0,0,115,106,3
SL-7,3,convex intermittent,0,0,115,106,3
SL-7,2,convex intermittent,1,0,105,73,3
SL-7,1,convex intermittent,1,0,75,63,3
SL-8,4,convex intermittent,0,0,130,146,2
SL-8,5,convex intermittent,0,0,120,140,4
SL-8,4,convex intermittent,0,0,115,114,2
SL-8,4,convex intermittent,0,0,115,114,2
SL-8,4,convex intermittent,0,0,115,114,2
SL-8,4,convex intermittent,0,0,105,133,2
SL-8,4,convex intermittent,0,0,100,132,2
SL-8,4,convex intermittent,0,0,90,86,2
SL-8,3,convex intermittent,0,0,140,128,2
SL-8,3,convex intermittent,0,0,115,113,2
SL-9,1,convex intermittent,0,0,60,86,3
SL-9,3,convex intermittent,0,0,75,99,3
SL-9,3,convex intermittent,0,0,170,153,3
SL-9,4,convex intermittent,0,0,180,106,3
SL-9,4,convex intermittent,0,0,75,126,3
SL-9,3,convex intermittent,0,0,90,76,2
SL-9,2,convex intermittent,0,0,90,76,3
SL-9,2,convex intermittent,0,0,90,76,3
SL-10,2,convex intermittent,0,0,115,146,3
SL-10,3,convex intermittent,0,0,75,66,3
SL-10,3,convex intermittent,0,0,115,152,3
SL-10,1,convex intermittent,1,0,140,99,1
SL-10,2,convex intermittent,0,0,155,103,3
SL-10,2,convex intermittent,0,0,80,90,3
SL-10,3,convex intermittent,0,0,105,133,3
JNAS-1,1,convex intermittent,0,0,260,190,1
JNAS-1,4,convex intermittent,0,0,170,193,3
JNAS-1,1,convex intermittent,0,0,285,216,3
JNAS-1,1,convex intermittent,0,0,180,171,3
JNAS-1,2,convex intermittent,0,0,240,158,3
JNAS-1,2,convex intermittent,0,0,225,159,3
GL-2,4,convex intermittent,0,0,210,112,4
GL-2,4,convex intermittent,0,0,175,159,2
GL-2,4,convex intermittent,0,0,115,159,2
GL-2,4,convex intermittent,0,0,285,143,2
FX-1,4,intermittent off,0,0,150,203,2
FX-3,4,intermittent off,0,0,150,111,2
FX-3,4,intermittent off,0,0,135,174,2
FX-3,4,intermittent off,0,0,135,174,2
FX-3,4,intermittent off,0,0,170,103,2
FX-3,5,intermittent off,0,0,170,146,3
SMP-1,1,convex intermittent,0,1,120,122,3
SMP-1,1,convex intermittent,1,0,165,133,1
SMP-1,5,convex intermittent,0,0,220,183,2
SMP-2,5,convex intermittent,0,0,220,186,4
SMP-2,1,convex intermittent,0,0,140,193,3
SMP-2,4,convex intermittent,0,0,175,153,2
SMP-2,4,convex intermittent,0,0,170,118,2
SMP-2,4,convex intermittent,0,0,170,118,2
SMP-2,4,convex intermittent,0,0,170,118,2
SMP-3,4,convex intermittent,0,0,225,109,2
SMP-4auto,4,convex intermittent,0,0,220,165,2
SMP-4auto,4,convex intermittent,0,0,215,173,2
SMP-4auto,4,convex intermittent,0,0,155,152,2
JNAS-2,4,convex intermittent,0,0,145,118,3
JNAS-2,4,convex intermittent,0,0,115,136,2
JNAS-2,4,convex intermittent,0,0,170,160,2
SL-4,1,convex intermittent,0,0,200,98,3
SL-4,2,convex intermittent,0,0,185,106,3
